gwas_name,mid,module_size,net,pval,teamName,traitGroup,type,new_gwas_cat,trait.simplified
EUR.pgc.cross.SCZ17.2013-05,77,38,6_homology,1.5977023500000002e-06,Hongyan Ren,Schizophrenia,Psychiatric,,Schizophrenia
EUR.pgc.scz.full.2012-04,77,38,6_homology,2.4267278399999998e-06,Hongyan Ren,Schizophrenia,Psychiatric,,Schizophrenia
EUR.Corre2014.uCa_creat_ratio_ALL_META_ANALYSIS_7pop1,314,5,1_ppi,5.4471497100000005e-05,Nextmr Medical Physics,Electrolytes,Various,,Electrolytes (urin)
EUR.GIANT_2015_HIPadjBMI_COMBINED_EUR,19,7,1_ppi,2.31311881e-05,Nextmr Medical Physics,BMI (female),Anthropometric,,Body mass index
EUR.GIANT_2015_HIPadjBMI_COMBINED_EUR,87,40,1_ppi,6.20055203e-05,Nextmr Medical Physics,BMI (female),Anthropometric,,Body mass index
EUR.GIANT_2015_WCadjBMI_MALES_EUR,87,40,1_ppi,1.07791893e-05,Nextmr Medical Physics,BMI (male),Anthropometric,,Body mass index
EUR.GIANT_2015_WCadjBMI_MALES_EUR,19,7,1_ppi,2.3800254300000002e-05,Nextmr Medical Physics,BMI (male),Anthropometric,,Body mass index
EUR.GIANT_HEIGHT_LangoAllen2010_publicrelease_HapMapCeuFreq_eqtl,19,7,1_ppi,3.98972868e-06,Nextmr Medical Physics,Height,Anthropometric,,Height
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WCadjBMI_MEN,19,7,1_ppi,3.65997251e-05,Nextmr Medical Physics,BMI (male),Anthropometric,,Body mass index
EUR.MAGIC.ln_fastingProinsulin,634,8,1_ppi,9.541035320000001e-06,Nextmr Medical Physics,Various,Glycemic,,Fasting proinsulin
EUR.MAGIC.Manning_et_al_FastingGlucose_Interaction.InterP,342,3,1_ppi,6.892748829999999e-05,Nextmr Medical Physics,Fasting glucose,Glycemic,,Fasting glucose (BMI interact.)
EUR.onqah.pgcasdeuro,204,23,1_ppi,7.19052377e-05,Nextmr Medical Physics,Autism,Psychiatric,,Autism
EUR.Corre2014.uMg_creat_ratio_all_META_ANALYSIS_Aug2013_7pop1,231,4,2_ppi,5.48610593e-05,Nextmr Medical Physics,Electrolytes,Various,,Electrolytes (urin)
EUR.GIANT_2015_HIPadjBMI_FEMALES_EUR,145,8,2_ppi,2.2453497499999998e-05,Nextmr Medical Physics,BMI (female),Anthropometric,,Body mass index
EUR.GIANT_HEIGHT_Wood_et_al_2014_publicrelease_HapMapCeuFreq,33,18,3_signal,0.000380200328,Nextmr Medical Physics,Height,Anthropometric,,Height
EUR.GIANT.BMI.WOMEN.GT50.publicrelease,331,22,4_coexpr,8.16317942e-05,Nextmr Medical Physics,"BMI, obesity",Anthropometric,,Body mass index
EUR.GIANT.BMI.Women_SNP_gwas_mc_merge_nogc.tbl.uniq,227,34,4_coexpr,8.40424012e-05,Nextmr Medical Physics,"BMI, obesity",Anthropometric,,Body mass index
EUR.GIANT_EXTREME_BMI_Stage1_Berndt2013_publicrelease_HapMapCeuFreq,331,22,4_coexpr,2.2389694899999998e-05,Nextmr Medical Physics,"BMI, obesity",Anthropometric,,Body mass index
EUR.GIANT_OBESITY_CLASS1_Stage1_Berndt2013_publicrelease_HapMapCeuFreq,331,22,4_coexpr,9.276348979999999e-05,Nextmr Medical Physics,"BMI, obesity",Anthropometric,,Obesity
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_BMI_WOMEN,331,22,4_coexpr,8.45620209e-05,Nextmr Medical Physics,"BMI, waist, hip (female)",Anthropometric,,Body mass index
EUR.IBDGenetics.CD,292,32,4_coexpr,7.1619979100000005e-06,Nextmr Medical Physics,Inflammatory bowel disease,Immune,,Crohn's disease
EUR.IBDGenetics.CD,289,30,4_coexpr,0.000155031848,Nextmr Medical Physics,Inflammatory bowel disease,Immune,,Crohn's disease
EUR.EGG_BW2_DISCOVERY,8,11,5_cancer,9.75481278e-05,Nextmr Medical Physics,Various,Anthropometric,,Birth weight
EUR.Neuroticism_Full,201,11,5_cancer,3.46692729e-06,Nextmr Medical Physics,Neuroticism,Psychiatric,,Neuroticism
EUR.BPSCZ.results,14,6,6_homology,4.68882077e-05,Nextmr Medical Physics,"Bipolar, schizophrenia",Psychiatric,,Cross-disorder
EUR.BPSCZ.scz-only.results,14,6,6_homology,9.685720720000001e-05,Nextmr Medical Physics,Schizophrenia,Psychiatric,,Schizophrenia
EUR.Corre2014.Mg_serum_overall_META_ANALYSIS_Oct2013_4pop1,258,5,6_homology,8.669278029999999e-05,Nextmr Medical Physics,Various,Various,,Electrolytes (serum)
EUR.GIANT_HEIGHT_Wood_et_al_2014_publicrelease_HapMapCeuFreq,34,38,6_homology,9.920683349999999e-05,Nextmr Medical Physics,Height,Anthropometric,,Height
EUR.IGAP_stage_1,245,23,6_homology,1.7197730399999998e-05,Nextmr Medical Physics,Alzheimer's disease,Neurodegenerative,,Alzheimer's disease
EUR.pgc.cross.SCZ17.2013-05,14,6,6_homology,4.00806855e-05,Nextmr Medical Physics,Schizophrenia,Psychiatric,,Schizophrenia
EUR.pgc.scz.full.2012-04,14,6,6_homology,3.5055099e-05,Nextmr Medical Physics,Schizophrenia,Psychiatric,,Schizophrenia
EUR.scz.swe.pgc1.results.v3,14,6,6_homology,0.00010819931300000001,Nextmr Medical Physics,Schizophrenia,Psychiatric,,Schizophrenia
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HIPadjBMI_WOMEN,145,63,1_ppi,9.86273386e-05,Stanley Cai,BMI (female),Anthropometric,,Body mass index
EUR.GIANT_2015_HIPadjBMI_FEMALES_EUR,208,20,2_ppi,7.69579808e-05,Stanley Cai,BMI (female),Anthropometric,,Body mass index
EUR.GIANT_2015_WC_FEMALES_EUR,325,8,2_ppi,0.000132855469,Stanley Cai,"BMI, waist, hip (female)",Anthropometric,,Waist circumference
EUR.GIANT_EXTREME_HEIGHT_Stage1_Berndt2013_publicrelease_HapMapCeuFreq,0,13,2_ppi,0.00024012942000000003,Stanley Cai,Height,Anthropometric,,Height (extreme)
EUR.GIANT_EXTREME_HEIGHT_Stage1_Berndt2013_publicrelease_HapMapCeuFreq,208,20,2_ppi,0.000266821797,Stanley Cai,Height,Anthropometric,,Height (extreme)
EUR.GIANT_HEIGHT_LangoAllen2010_publicrelease_HapMapCeuFreq_eqtl,208,20,2_ppi,8.78896125e-05,Stanley Cai,Height,Anthropometric,,Height
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HEIGHT_WOMEN,208,20,2_ppi,0.00011321451800000001,Stanley Cai,Height,Anthropometric,,Height
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WEIGHT_MEN,202,9,2_ppi,0.000104369375,Stanley Cai,"BMI, waist, hip (male)",Anthropometric,,Weight
EUR.GLGC.Mc_TC,24,21,2_ppi,0.00010599771,Stanley Cai,"LDL, total cholesterol",Lipids,,Total cholesterol
EUR.Hor2010.Narcolepsy.META_NARCO_HLAall_IMPUTED,150,11,2_ppi,7.66251973e-05,Stanley Cai,Narcolepsy,Various,,Narcolepsy
EUR.Hor2010.Narcolepsy.META_NARCO_HLAall_IMPUTED,229,26,2_ppi,0.00026884631799999997,Stanley Cai,Narcolepsy,Various,,Narcolepsy
EUR.Hor2010.Narcolepsy.META_NARCO_HLApos_IMPUTED,136,11,2_ppi,0.000135185039,Stanley Cai,Narcolepsy,Various,,Narcolepsy
EUR.Neuroticism_Full,144,10,2_ppi,0.000133932418,Stanley Cai,Neuroticism,Psychiatric,,Neuroticism
EUR.ASN.CAD.cad.rec.090715.web,64,35,3_signal,0.000268980408,Stanley Cai,Coronary artery disease,Cardiovascular,,Coronary artery disease
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HEIGHT_MEN,12,7,3_signal,0.000302679757,Stanley Cai,Height,Anthropometric,,Height
EUR.CARDIoGRAM_2010_lipids.LDL_ONE,131,15,4_coexpr,5.1311119899999994e-05,Stanley Cai,"LDL, total cholesterol",Lipids,,LDL cholesterol
EUR.CARDIoGRAM_2010_lipids.TC_ONE,131,15,4_coexpr,0.000188955223,Stanley Cai,"LDL, total cholesterol",Lipids,,Total cholesterol
EUR.Fritsche_2015_AdvancedAMD,87,12,4_coexpr,0.000158425306,Stanley Cai,Various,Various,,Macular degeneration
EUR.GIANT_OBESITY_CLASS2_Stage1_Berndt2013_publicrelease_HapMapCeuFreq,91,22,4_coexpr,0.000367175242,Stanley Cai,"BMI, obesity",Anthropometric,,Obesity
EUR.MAGIC.ln_fastingProinsulin,3,37,4_coexpr,0.000311433654,Stanley Cai,Various,Glycemic,,Fasting proinsulin
EUR.IBDGenetics.CD,33,8,5_cancer,0.0012168497599999999,Stanley Cai,Inflammatory bowel disease,Immune,,Crohn's disease
EUR.IBDGenetics.CD,8,7,5_cancer,0.00139358773,Stanley Cai,Inflammatory bowel disease,Immune,,Crohn's disease
EUR.IBDGenetics.CD,25,8,5_cancer,0.00215207275,Stanley Cai,Inflammatory bowel disease,Immune,,Crohn's disease
EUR.GLGC.Mc_LDL,2,78,6_homology,0.00040475418400000003,Stanley Cai,"LDL, total cholesterol",Lipids,,LDL cholesterol
EUR.BPSCZ.results,75,93,1_ppi,0.000115875615,cardinal,"Bipolar, schizophrenia",Psychiatric,,Cross-disorder
EUR.BPSCZ.scz-only.results,75,93,1_ppi,1.1484728400000002e-05,cardinal,Schizophrenia,Psychiatric,,Schizophrenia
EUR.CARDIoGRAM_2010_lipids.LDL_ONE,107,70,1_ppi,7.230615730000001e-06,cardinal,"LDL, total cholesterol",Lipids,,LDL cholesterol
EUR.CARDIoGRAM_2010_lipids.LDL_ONE,9,100,1_ppi,0.000541874494,cardinal,"LDL, total cholesterol",Lipids,,LDL cholesterol
EUR.CARDIoGRAM_2010_lipids.TC_ONE,107,70,1_ppi,4.69194822e-06,cardinal,"LDL, total cholesterol",Lipids,,Total cholesterol
EUR.FG.ENGAGE1000G_FG,94,95,1_ppi,3.38744068e-05,cardinal,Fasting glucose,Glycemic,,Fasting glucose
EUR.GIANT.BMI.MEN.LE50.publicrelease,93,97,1_ppi,0.000148117007,cardinal,"BMI, waist, hip (male)",Anthropometric,,Body mass index
EUR.GIANT.BMI.WOMEN.LE50.publicrelease,93,97,1_ppi,4.23418896e-05,cardinal,"BMI, obesity",Anthropometric,,Body mass index
EUR.GIANT.BMI.Women_SNP_gwas_mc_merge_nogc.tbl.uniq,93,97,1_ppi,9.48711741e-05,cardinal,"BMI, obesity",Anthropometric,,Body mass index
EUR.GIANT_2015_HIP_FEMALES_EUR,93,97,1_ppi,3.8777721499999995e-05,cardinal,"BMI, waist, hip (female)",Anthropometric,,Hip circumference
EUR.GIANT_2015_WC_COMBINED_EUR,93,97,1_ppi,0.000269856669,cardinal,"BMI, waist, hip (female)",Anthropometric,,Waist circumference
EUR.GIANT_2015_WC_FEMALES_EUR,93,97,1_ppi,0.00010908532,cardinal,"BMI, waist, hip (female)",Anthropometric,,Waist circumference
EUR.GIANT_BMI_Speliotes2010_publicrelease_HapMapCeuFreq_eqtl,93,97,1_ppi,8.84525663e-05,cardinal,"BMI, obesity",Anthropometric,,Body mass index
EUR.GIANT_OBESITY_CLASS1_Stage1_Berndt2013_publicrelease_HapMapCeuFreq,93,97,1_ppi,6.42219645e-05,cardinal,"BMI, obesity",Anthropometric,,Obesity
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WCadjBMI_MEN,105,77,1_ppi,1.65860426e-05,cardinal,BMI (male),Anthropometric,,Body mass index
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WEIGHT_MEN,20,100,1_ppi,1.87872508e-05,cardinal,"BMI, waist, hip (male)",Anthropometric,,Weight
EUR.GLGC.jointGwasMc_LDL,107,70,1_ppi,0.00011710893400000001,cardinal,"LDL, total cholesterol",Lipids,,LDL cholesterol
EUR.GLGC.jointGwasMc_LDL,9,100,1_ppi,0.00036631178999999996,cardinal,"LDL, total cholesterol",Lipids,,LDL cholesterol
EUR.GLGC.jointGwasMc_TC,107,70,1_ppi,8.36994652e-05,cardinal,"LDL, total cholesterol",Lipids,,Total cholesterol
EUR.GLGC.Mc_TC,107,70,1_ppi,0.000275614235,cardinal,"LDL, total cholesterol",Lipids,,Total cholesterol
EUR.MAGIC.ln_fastingProinsulin,142,50,1_ppi,0.000160419675,cardinal,Various,Glycemic,,Fasting proinsulin
EUR.pgc.cross.SCZ17.2013-05,75,93,1_ppi,5.79820299e-06,cardinal,Schizophrenia,Psychiatric,,Schizophrenia
EUR.pgc.scz.full.2012-04,75,93,1_ppi,3.1523481299999998e-06,cardinal,Schizophrenia,Psychiatric,,Schizophrenia
EUR.scz.swe.pgc1.results.v3,75,93,1_ppi,0.000266534936,cardinal,Schizophrenia,Psychiatric,,Schizophrenia
EUR.BMI.ENGAGE1000G_BMI,26,100,2_ppi,3.0365251399999998e-05,cardinal,"BMI, obesity",Anthropometric,,Body mass index
EUR.BPSCZ.scz-only.results,38,98,2_ppi,3.76092883e-05,cardinal,Schizophrenia,Psychiatric,,Schizophrenia
EUR.IBD.gwas_ichip_meta_release.IBD_META_P,5,56,2_ppi,0.00017920479,cardinal,Inflammatory bowel disease,Immune,,Inflammatory bowel disease
EUR.Kathiresan2009.LDL,52,97,2_ppi,0.000287843398,cardinal,"LDL, total cholesterol",Lipids,,LDL cholesterol
EUR.Corre2014.uMg_creat_ratio_all_META_ANALYSIS_Aug2013_7pop1,1,95,3_signal,0.000703008584,cardinal,Electrolytes,Various,,Electrolytes (urin)
EUR.GIANT.BMI.SNP_gwas_mc_merge_nogc.tbl.uniq,6,59,3_signal,0.000601317555,cardinal,"BMI, obesity",Anthropometric,,Body mass index
EUR.GIANT.BMI.WOMEN.GT50.publicrelease,6,59,3_signal,7.80699065e-05,cardinal,"BMI, obesity",Anthropometric,,Body mass index
EUR.GIANT.BMI.Women_SNP_gwas_mc_merge_nogc.tbl.uniq,6,59,3_signal,0.00071161256,cardinal,"BMI, obesity",Anthropometric,,Body mass index
EUR.GIANT_2015_HIPadjBMI_COMBINED_EUR,20,100,3_signal,6.64179334e-05,cardinal,BMI (female),Anthropometric,,Body mass index
EUR.GIANT_2015_WC_FEMALES_EUR,6,59,3_signal,0.0006652693459999999,cardinal,"BMI, waist, hip (female)",Anthropometric,,Waist circumference
EUR.GIANT_HEIGHT_Wood_et_al_2014_publicrelease_HapMapCeuFreq,20,100,3_signal,0.000417240706,cardinal,Height,Anthropometric,,Height
EUR.GIANT_OVERWEIGHT_Stage1_Berndt2013_publicrelease_HapMapCeuFreq,6,59,3_signal,0.00039769937000000004,cardinal,"BMI, obesity",Anthropometric,,Obesity
EUR.IBDGenetics.CD,26,78,3_signal,0.000678240151,cardinal,Inflammatory bowel disease,Immune,,Crohn's disease
EUR.MAGIC.Manning_et_al_FastingGlucose_Interaction.InterP,8,61,3_signal,0.000464694617,cardinal,Fasting glucose,Glycemic,,Fasting glucose (BMI interact.)
EUR.MAGIC.Manning_et_al_FastingGlucose_Interaction.JMAcontBMI_P,6,59,3_signal,0.000760871181,cardinal,Fasting glucose,Glycemic,,Fasting glucose (BMI interact.)
EUR.Okada2014.RA_GWASmeta_European_v2,26,78,3_signal,6.013821779999999e-05,cardinal,Rheumatoid arthritis,Immune,,Rheumatoid arthritis
EUR.GIANT_2015_HIP_COMBINED_EUR,265,55,4_coexpr,4.8055439799999993e-05,cardinal,"BMI, waist, hip (female)",Anthropometric,,Hip circumference
EUR.GIANT_2015_HIP_MALES_EUR,265,55,4_coexpr,9.464748740000002e-05,cardinal,"BMI, waist, hip (male)",Anthropometric,,Hip circumference
EUR.GIANT_2015_WCadjBMI_MALES_EUR,349,96,4_coexpr,0.000124514832,cardinal,BMI (male),Anthropometric,,Body mass index
EUR.IGAP_stage_1,132,11,4_coexpr,0.000133910625,cardinal,Alzheimer's disease,Neurodegenerative,,Alzheimer's disease
EUR.CARDIoGRAM_2010_lipids.TC_ONE,71,67,5_cancer,0.00015182628300000001,cardinal,"LDL, total cholesterol",Lipids,,Total cholesterol
EUR.GIANT_2015_WC_MALES_EUR,90,50,5_cancer,0.000296607412,cardinal,"BMI, waist, hip (male)",Anthropometric,,Waist circumference
EUR.GLGC.Mc_TC,71,67,5_cancer,0.00012750997799999998,cardinal,"LDL, total cholesterol",Lipids,,Total cholesterol
EUR.GLGC.Mc_TC,111,80,5_cancer,0.000301692843,cardinal,"LDL, total cholesterol",Lipids,,Total cholesterol
EUR.pgc.scz2.2014,58,3,6_homology,2.92759393e-05,cardinal,Schizophrenia,Psychiatric,,Schizophrenia
EUR.scz.swe.pgc1.results.v3,58,3,6_homology,9.65870554e-05,cardinal,Schizophrenia,Psychiatric,,Schizophrenia
EUR.ASN.C4D_CAD_discovery_metaanalysis_update.CAD,75,6,1_ppi,0.000426791539,Zhenhua,Coronary artery disease,Cardiovascular,,Coronary artery disease
EUR.Corre2014.uCa_creat_ratio_ALL_META_ANALYSIS_7pop1,53,32,1_ppi,0.000295975884,Zhenhua,Electrolytes,Various,,Electrolytes (urin)
EUR.FG.ENGAGE1000G_FG,26,52,1_ppi,3.18897798e-06,Zhenhua,Fasting glucose,Glycemic,,Fasting glucose
EUR.Fritsche_2015_AdvancedAMD,57,30,1_ppi,7.74645662e-05,Zhenhua,Various,Various,,Macular degeneration
EUR.Fritsche_2015_AdvancedAMD,47,4,1_ppi,0.0005886634400000001,Zhenhua,Various,Various,,Macular degeneration
EUR.GIANT_2015_HIPadjBMI_COMBINED_EUR,43,22,1_ppi,6.80699983e-06,Zhenhua,BMI (female),Anthropometric,,Body mass index
EUR.GIANT_2015_HIPadjBMI_FEMALES_EUR,43,22,1_ppi,0.00020917270799999997,Zhenhua,BMI (female),Anthropometric,,Body mass index
EUR.GIANT_2015_HIPadjBMI_MALES_EUR,43,22,1_ppi,0.000419750172,Zhenhua,BMI (male),Anthropometric,,Body mass index
EUR.GIANT_2015_WCadjBMI_MALES_EUR,43,22,1_ppi,1.17134341e-08,Zhenhua,BMI (male),Anthropometric,,Body mass index
EUR.GIANT_EXTREME_HEIGHT_Stage1_Berndt2013_publicrelease_HapMapCeuFreq,43,22,1_ppi,0.000309909208,Zhenhua,Height,Anthropometric,,Height (extreme)
EUR.GIANT_HEIGHT_LangoAllen2010_publicrelease_HapMapCeuFreq_eqtl,43,22,1_ppi,3.89734578e-06,Zhenhua,Height,Anthropometric,,Height
EUR.GIANT_HEIGHT_Wood_et_al_2014_publicrelease_HapMapCeuFreq,43,22,1_ppi,3.57689977e-05,Zhenhua,Height,Anthropometric,,Height
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HEIGHT_MEN,43,22,1_ppi,6.96989955e-05,Zhenhua,Height,Anthropometric,,Height
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HEIGHT_WOMEN,43,22,1_ppi,0.000324499001,Zhenhua,Height,Anthropometric,,Height
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WCadjBMI_MEN,43,22,1_ppi,5.92828164e-09,Zhenhua,BMI (male),Anthropometric,,Body mass index
EUR.Hor2010.Narcolepsy.META_NARCO_HLAall_IMPUTED,62,4,1_ppi,9.327905849999999e-07,Zhenhua,Narcolepsy,Various,,Narcolepsy
EUR.Hor2010.Narcolepsy.META_NARCO_HLAall_IMPUTED,94,5,1_ppi,0.000413907285,Zhenhua,Narcolepsy,Various,,Narcolepsy
EUR.IBD.gwas_ichip_meta_release.IBD_GWAS_P,94,5,1_ppi,0.00042462845,Zhenhua,Inflammatory bowel disease,Immune,,Inflammatory bowel disease
EUR.IBD.gwas_ichip_meta_release.IBD_META_P,94,5,1_ppi,0.00042462845,Zhenhua,Inflammatory bowel disease,Immune,,Inflammatory bowel disease
EUR.IBD.gwas_ichip_meta_release.UC_GWAS_P,94,5,1_ppi,0.0004995005,Zhenhua,Inflammatory bowel disease,Immune,,Ulcerative colitis
EUR.IBD.gwas_ichip_meta_release.UC_ICHIP_P,94,5,1_ppi,0.000511508951,Zhenhua,Inflammatory bowel disease,Immune,,Ulcerative colitis
EUR.IBD.gwas_ichip_meta_release.UC_META_P,94,5,1_ppi,0.0004995005,Zhenhua,Inflammatory bowel disease,Immune,,Ulcerative colitis
EUR.IBDGenetics.CD,47,4,1_ppi,2.0225430800000003e-05,Zhenhua,Inflammatory bowel disease,Immune,,Crohn's disease
EUR.IBDGenetics.CD,76,3,1_ppi,0.0007724176669999999,Zhenhua,Inflammatory bowel disease,Immune,,Crohn's disease
EUR.IBDGenetics.UC,47,4,1_ppi,9.900237290000001e-05,Zhenhua,Inflammatory bowel disease,Immune,,Ulcerative colitis
EUR.IBDGenetics.UC,94,5,1_ppi,0.000137931034,Zhenhua,Inflammatory bowel disease,Immune,,Ulcerative colitis
EUR.IBDGenetics.UC,76,3,1_ppi,0.000689607613,Zhenhua,Inflammatory bowel disease,Immune,,Ulcerative colitis
EUR.Okada2014.RA_GWASmeta_European_v2,62,4,1_ppi,2.32816445e-06,Zhenhua,Rheumatoid arthritis,Immune,,Rheumatoid arthritis
EUR.Okada2014.RA_GWASmeta_European_v2,94,5,1_ppi,0.000502047132,Zhenhua,Rheumatoid arthritis,Immune,,Rheumatoid arthritis
EUR.pgc.cross.SCZ17.2013-05,94,5,1_ppi,0.000138217001,Zhenhua,Schizophrenia,Psychiatric,,Schizophrenia
EUR.RA_GWASmeta2_20090505,62,4,1_ppi,4.27061775e-05,Zhenhua,Rheumatoid arthritis,Immune,,Rheumatoid arthritis
EUR.RA_GWASmeta2_20090505,94,5,1_ppi,0.000345160845,Zhenhua,Rheumatoid arthritis,Immune,,Rheumatoid arthritis
EUR.ASN.CAD.cad.add.160614.website,702,9,2_ppi,7.92953565e-06,Zhenhua,Coronary artery disease,Cardiovascular,,Coronary artery disease
EUR.ASN.MI.mi.add.030315.website,702,9,2_ppi,2.99535303e-05,Zhenhua,Coronary artery disease,Cardiovascular,,Coronary artery disease
EUR.ASN.MI.mi.add.030315.website,73,26,2_ppi,0.00011124550800000001,Zhenhua,Coronary artery disease,Cardiovascular,,Coronary artery disease
EUR.CARDIoGRAM_2010_lipids.LDL_ONE,702,9,2_ppi,3.19314295e-05,Zhenhua,"LDL, total cholesterol",Lipids,,LDL cholesterol
